CDR,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
F1.M14,0.23,0.32,0.36,0.46,0.49,0.60,0.65,0.68,0.75,0.77,0.78,0.81,0.80,0.83,0.83,0.86,0.86,0.86,0.86,0.89,0.88,0.91,0.89,0.92,0.88,0.93,0.93,0.98,0.99,1.00
F1.M15,0.23,0.59,0.56,0.61,0.60,0.67,0.67,0.71,0.75,0.77,0.77,0.82,0.82,0.84,0.83,0.85,0.86,0.86,0.85,0.89,0.87,0.88,0.84,0.92,0.84,0.91,0.86,0.87,0.85,1.00
F1.M16,0.34,0.58,0.62,0.71,0.75,0.75,0.78,0.78,0.82,0.79,0.77,0.78,0.77,0.76,0.77,0.74,0.73,0.75,0.72,0.68,0.68,0.68,0.63,0.64,0.59,0.66,0.63,0.75,0.73,1.00
F2.M1,0.64,0.72,0.73,0.76,0.77,0.78,0.79,0.79,0.79,0.80,0.80,0.83,0.84,0.84,0.83,0.83,0.84,0.86,0.87,0.84,0.86,0.87,0.86,0.87,0.85,0.85,0.82,0.86,0.79,1.00
F2.M2,0.64,0.72,0.73,0.76,0.77,0.78,0.79,0.79,0.79,0.80,0.80,0.83,0.84,0.84,0.83,0.83,0.84,0.86,0.87,0.84,0.86,0.87,0.86,0.87,0.85,0.85,0.82,0.86,0.79,1.00
F2.M3,0.64,0.72,0.73,0.76,0.77,0.78,0.79,0.79,0.79,0.80,0.80,0.83,0.84,0.84,0.83,0.83,0.84,0.86,0.87,0.84,0.86,0.87,0.86,0.87,0.85,0.85,0.82,0.86,0.79,1.00
F2.M4,0.64,0.88,0.83,0.87,0.86,0.86,0.85,0.86,0.85,0.83,0.80,0.83,0.83,0.81,0.81,0.81,0.81,0.80,0.76,0.73,0.72,0.70,0.68,0.69,0.64,0.70,0.66,0.76,0.74,1.00
F2.M5,0.23,0.99,0.96,0.94,0.94,0.92,0.94,0.93,0.93,0.91,0.91,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.92,0.93,0.94,0.95,0.94,0.94,0.92,0.95,0.96,1.00,1.00,1.00
F2.M6,0.64,0.93,0.91,0.94,0.95,0.94,0.95,0.92,0.93,0.95,0.94,0.96,0.95,0.94,0.92,0.94,0.95,0.94,0.95,0.94,0.93,0.93,0.93,0.93,0.93,0.94,0.92,0.94,0.87,1.00
F2.M7,0.64,0.70,0.70,0.70,0.69,0.70,0.72,0.73,0.73,0.74,0.77,0.79,0.80,0.81,0.80,0.80,0.81,0.85,0.85,0.82,0.82,0.85,0.83,0.82,0.77,0.81,0.76,0.82,0.79,1.00
F2.M8,0.23,0.99,0.75,0.79,0.84,0.85,0.85,0.86,0.85,0.86,0.87,0.87,0.87,0.88,0.89,0.91,0.92,0.93,0.93,0.93,0.92,0.93,0.92,0.93,0.93,0.95,0.95,0.97,0.94,1.00
F2.M9,0.64,0.76,0.77,0.81,0.81,0.81,0.83,0.83,0.85,0.85,0.85,0.88,0.87,0.88,0.87,0.87,0.87,0.88,0.88,0.87,0.88,0.90,0.89,0.90,0.89,0.89,0.86,0.90,0.79,1.00
F2.M10,0.23,0.99,0.96,0.93,0.92,0.90,0.92,0.91,0.91,0.89,0.88,0.90,0.89,0.89,0.90,0.89,0.92,0.92,0.91,0.92,0.91,0.93,0.91,0.92,0.90,0.93,0.94,0.97,1.00,1.00
F2.M11,0.53,0.70,0.70,0.72,0.75,0.75,0.74,0.76,0.77,0.75,0.75,0.79,0.80,0.80,0.79,0.79,0.78,0.80,0.81,0.79,0.79,0.77,0.76,0.76,0.72,0.77,0.74,0.80,0.79,1.00
F2.M12,0.10,0.35,0.61,0.69,0.74,0.78,0.79,0.82,0.84,0.84,0.86,0.85,0.88,0.89,0.90,0.90,0.92,0.93,0.94,0.94,0.93,0.93,0.92,0.93,0.94,0.96,0.96,0.99,0.98,1.00
F2.M13,0.49,0.68,0.76,0.79,0.82,0.83,0.84,0.86,0.87,0.87,0.89,0.90,0.90,0.92,0.94,0.94,0.95,0.95,0.96,0.94,0.94,0.95,0.94,0.95,0.95,0.97,0.97,0.96,0.93,1.00
F2.M14,0.10,0.99,0.81,0.81,0.81,0.83,0.84,0.84,0.83,0.82,0.80,0.80,0.79,0.79,0.78,0.78,0.76,0.76,0.73,0.75,0.73,0.75,0.73,0.75,0.73,0.78,0.78,0.84,0.90,1.00
F2.M15,0.10,0.33,0.40,0.48,0.57,0.60,0.65,0.71,0.76,0.79,0.81,0.84,0.87,0.86,0.87,0.87,0.88,0.90,0.91,0.91,0.89,0.91,0.90,0.92,0.91,0.93,0.94,0.97,0.98,1.00
F2.M16,0.64,0.75,0.75,0.78,0.78,0.75,0.77,0.77,0.78,0.76,0.72,0.75,0.78,0.78,0.73,0.75,0.77,0.77,0.76,0.72,0.73,0.74,0.72,0.71,0.69,0.72,0.69,0.77,0.73,1.00
F2.M17,0.23,0.99,0.74,0.79,0.84,0.85,0.85,0.86,0.85,0.86,0.87,0.87,0.87,0.88,0.89,0.91,0.92,0.93,0.93,0.93,0.92,0.93,0.92,0.93,0.93,0.95,0.95,0.97,0.94,1.00
F2.M18,0.64,0.76,0.78,0.81,0.83,0.82,0.83,0.83,0.86,0.86,0.87,0.88,0.88,0.90,0.89,0.89,0.91,0.91,0.92,0.89,0.91,0.92,0.91,0.92,0.92,0.93,0.91,0.92,0.84,1.00
F2.M19,0.23,0.99,0.84,0.81,0.82,0.82,0.85,0.86,0.84,0.83,0.82,0.83,0.80,0.80,0.81,0.81,0.81,0.80,0.78,0.79,0.76,0.77,0.76,0.79,0.79,0.84,0.88,0.93,0.98,1.00
F2.M20,0.23,0.99,0.75,0.79,0.84,0.85,0.85,0.86,0.85,0.86,0.87,0.87,0.87,0.88,0.89,0.91,0.92,0.93,0.93,0.93,0.92,0.93,0.92,0.93,0.93,0.95,0.95,0.97,0.94,1.00
F2.M21,0.10,0.53,0.60,0.72,0.74,0.75,0.75,0.74,0.74,0.73,0.72,0.72,0.70,0.68,0.70,0.71,0.70,0.71,0.70,0.71,0.70,0.70,0.68,0.70,0.70,0.77,0.74,0.81,0.81,1.00
F2.M22,0.64,0.88,0.83,0.88,0.86,0.86,0.85,0.85,0.85,0.83,0.80,0.83,0.83,0.81,0.81,0.81,0.81,0.80,0.76,0.73,0.72,0.70,0.68,0.69,0.63,0.70,0.66,0.76,0.74,1.00
F2.M23,0.23,0.99,0.96,0.94,0.94,0.92,0.94,0.93,0.93,0.91,0.91,0.93,0.92,0.92,0.93,0.93,0.94,0.94,0.92,0.93,0.93,0.95,0.94,0.94,0.92,0.95,0.96,0.99,1.00,1.00
F2.M24,0.64,0.94,0.92,0.94,0.95,0.94,0.95,0.92,0.93,0.95,0.95,0.96,0.95,0.94,0.92,0.94,0.95,0.94,0.95,0.94,0.93,0.93,0.92,0.93,0.93,0.94,0.92,0.93,0.87,1.00
F2.M25,0.23,0.99,0.84,0.81,0.82,0.82,0.85,0.86,0.84,0.82,0.81,0.83,0.79,0.79,0.79,0.79,0.79,0.78,0.74,0.76,0.72,0.69,0.69,0.72,0.68,0.76,0.76,0.83,0.85,1.00
F2.M26,0.23,0.99,0.96,0.93,0.92,0.90,0.92,0.91,0.91,0.89,0.88,0.90,0.89,0.89,0.90,0.89,0.92,0.92,0.91,0.92,0.91,0.93,0.91,0.92,0.90,0.93,0.94,0.97,1.00,1.00
F2.M27,0.10,0.99,0.81,0.81,0.81,0.83,0.84,0.84,0.83,0.82,0.80,0.80,0.79,0.79,0.78,0.78,0.76,0.76,0.73,0.75,0.73,0.75,0.73,0.75,0.73,0.78,0.78,0.84,0.90,1.00
F2.M28,0.23,0.99,0.84,0.81,0.82,0.83,0.85,0.86,0.84,0.84,0.82,0.83,0.79,0.80,0.81,0.81,0.81,0.80,0.78,0.79,0.77,0.77,0.76,0.79,0.79,0.84,0.88,0.93,0.98,1.00
F2.M29,0.64,0.74,0.74,0.75,0.76,0.76,0.77,0.76,0.76,0.75,0.73,0.75,0.78,0.77,0.74,0.74,0.75,0.77,0.78,0.73,0.74,0.74,0.73,0.71,0.68,0.72,0.69,0.77,0.74,1.00
F2.M30,0.23,0.99,0.75,0.79,0.84,0.84,0.83,0.83,0.85,0.86,0.85,0.86,0.87,0.89,0.89,0.89,0.90,0.89,0.91,0.92,0.93,0.95,0.93,0.93,0.93,0.97,0.96,1.00,1.00,1.00
F2.M31,0.64,0.75,0.78,0.80,0.80,0.81,0.82,0.83,0.85,0.87,0.86,0.87,0.89,0.90,0.90,0.89,0.91,0.91,0.92,0.91,0.92,0.94,0.93,0.93,0.94,0.94,0.92,0.94,0.87,1.00
F2.M32,0.23,0.99,0.63,0.77,0.82,0.84,0.85,0.89,0.90,0.89,0.87,0.92,0.85,0.87,0.84,0.89,0.87,0.88,0.81,0.84,0.82,0.82,0.76,0.90,0.75,0.83,0.86,0.83,0.85,1.00
F2.M33,0.23,0.92,0.81,0.79,0.81,0.79,0.79,0.78,0.78,0.81,0.79,0.80,0.80,0.80,0.83,0.85,0.88,0.88,0.90,0.92,0.91,0.93,0.93,0.91,0.92,0.95,0.95,1.00,1.00,1.00
F2.M34,0.10,0.40,0.53,0.62,0.68,0.71,0.70,0.72,0.73,0.73,0.73,0.74,0.73,0.72,0.73,0.73,0.72,0.73,0.71,0.74,0.72,0.73,0.74,0.75,0.74,0.79,0.80,0.87,0.90,1.00
F2.M35,0.23,0.70,0.71,0.78,0.73,0.73,0.72,0.70,0.71,0.68,0.68,0.71,0.69,0.68,0.67,0.69,0.71,0.73,0.73,0.76,0.74,0.75,0.72,0.77,0.75,0.77,0.76,0.78,0.71,1.00
F2.M36,0.23,0.99,0.63,0.77,0.82,0.84,0.85,0.89,0.90,0.89,0.87,0.92,0.85,0.87,0.84,0.89,0.87,0.88,0.81,0.84,0.82,0.82,0.76,0.90,0.75,0.83,0.86,0.83,0.85,1.00
F2.M37,0.64,0.72,0.73,0.74,0.75,0.76,0.76,0.76,0.75,0.79,0.79,0.80,0.81,0.82,0.81,0.81,0.82,0.84,0.86,0.82,0.82,0.84,0.81,0.82,0.81,0.81,0.79,0.83,0.78,1.00
F2.M38,0.64,0.72,0.79,0.76,0.80,0.80,0.81,0.81,0.84,0.85,0.83,0.84,0.85,0.86,0.88,0.88,0.90,0.91,0.91,0.91,0.92,0.93,0.92,0.92,0.93,0.95,0.95,0.97,0.93,1.00
F2.M39,0.64,0.72,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.85,0.85,0.86,0.88,0.88,0.89,0.88,0.90,0.91,0.92,0.90,0.92,0.94,0.93,0.94,0.94,0.94,0.92,0.94,0.87,1.00
F2.M40,0.64,0.93,0.91,0.92,0.94,0.92,0.92,0.88,0.90,0.92,0.91,0.92,0.89,0.88,0.88,0.89,0.89,0.87,0.88,0.88,0.85,0.84,0.83,0.83,0.84,0.87,0.87,0.89,0.86,1.00
F2.M41,0.64,0.73,0.78,0.76,0.78,0.78,0.77,0.77,0.78,0.81,0.80,0.82,0.82,0.85,0.85,0.83,0.84,0.85,0.88,0.85,0.84,0.86,0.86,0.84,0.87,0.87,0.85,0.89,0.81,1.00
F2.M42,0.52,0.70,0.77,0.76,0.79,0.82,0.80,0.79,0.82,0.84,0.85,0.86,0.86,0.88,0.91,0.89,0.89,0.91,0.93,0.91,0.90,0.90,0.88,0.90,0.91,0.95,0.94,0.93,0.92,1.00
F2.M43,0.64,0.76,0.79,0.79,0.82,0.81,0.80,0.81,0.84,0.84,0.84,0.84,0.84,0.86,0.86,0.84,0.85,0.86,0.87,0.86,0.84,0.86,0.86,0.85,0.88,0.89,0.87,0.89,0.81,1.00
F2.M44,0.64,0.93,0.90,0.91,0.94,0.92,0.92,0.88,0.90,0.92,0.91,0.92,0.89,0.88,0.87,0.89,0.89,0.87,0.89,0.88,0.85,0.84,0.83,0.83,0.84,0.87,0.87,0.89,0.86,1.00
F2.M45,0.64,0.72,0.78,0.75,0.78,0.77,0.78,0.77,0.79,0.82,0.80,0.82,0.83,0.84,0.86,0.84,0.85,0.87,0.88,0.87,0.87,0.88,0.87,0.87,0.90,0.91,0.89,0.94,0.86,1.00
F2.M46,0.64,0.72,0.76,0.75,0.74,0.75,0.77,0.75,0.75,0.77,0.77,0.78,0.81,0.79,0.76,0.76,0.79,0.80,0.81,0.75,0.78,0.80,0.80,0.80,0.77,0.79,0.76,0.81,0.80,1.00
F2.M47,0.64,0.72,0.77,0.76,0.77,0.80,0.82,0.83,0.83,0.82,0.84,0.83,0.85,0.87,0.89,0.88,0.90,0.90,0.91,0.92,0.93,0.96,0.95,0.95,0.94,0.96,0.97,0.99,0.92,1.00
F2.M48,0.64,0.72,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,0.86,0.88,0.89,0.89,0.88,0.90,0.91,0.92,0.90,0.92,0.94,0.93,0.94,0.94,0.94,0.92,0.94,0.87,1.00
F2.M49,0.64,0.85,0.84,0.88,0.91,0.86,0.87,0.89,0.87,0.88,0.84,0.88,0.85,0.83,0.81,0.83,0.83,0.82,0.80,0.81,0.77,0.76,0.77,0.78,0.75,0.80,0.83,0.89,0.86,1.00
F2.M50,0.64,0.72,0.76,0.72,0.74,0.72,0.74,0.75,0.73,0.72,0.76,0.77,0.75,0.71,0.70,0.74,0.75,0.74,0.73,0.75,0.72,0.75,0.75,0.77,0.77,0.80,0.82,0.89,0.86,1.00
F2.M51,0.58,0.71,0.77,0.72,0.74,0.73,0.71,0.74,0.74,0.74,0.77,0.80,0.81,0.81,0.83,0.82,0.80,0.83,0.82,0.84,0.83,0.81,0.83,0.84,0.83,0.88,0.89,0.91,0.90,1.00
F2.M52,0.64,0.74,0.77,0.77,0.82,0.77,0.80,0.79,0.76,0.77,0.79,0.81,0.79,0.77,0.74,0.75,0.74,0.75,0.74,0.75,0.71,0.72,0.74,0.78,0.75,0.79,0.78,0.82,0.83,1.00
F2.M53,0.64,0.85,0.84,0.89,0.91,0.86,0.87,0.89,0.87,0.88,0.84,0.88,0.85,0.83,0.81,0.83,0.83,0.82,0.80,0.81,0.77,0.76,0.77,0.78,0.75,0.80,0.83,0.89,0.86,1.00
F2.M54,0.64,0.73,0.76,0.75,0.80,0.77,0.80,0.84,0.81,0.82,0.83,0.84,0.83,0.81,0.80,0.81,0.79,0.79,0.79,0.81,0.77,0.77,0.79,0.80,0.79,0.83,0.84,0.91,0.86,1.00
F2.M55,0.64,0.72,0.78,0.75,0.78,0.77,0.78,0.77,0.79,0.82,0.80,0.82,0.83,0.84,0.86,0.84,0.85,0.87,0.88,0.87,0.87,0.88,0.87,0.87,0.90,0.91,0.89,0.94,0.86,1.00
F2.M56,0.64,0.69,0.69,0.72,0.71,0.74,0.74,0.74,0.74,0.77,0.76,0.80,0.81,0.82,0.80,0.82,0.83,0.84,0.84,0.81,0.82,0.83,0.82,0.81,0.79,0.81,0.76,0.80,0.76,1.00
F2.M57,0.23,0.33,0.69,0.67,0.72,0.76,0.77,0.80,0.80,0.80,0.82,0.83,0.86,0.87,0.89,0.89,0.90,0.89,0.92,0.93,0.93,0.95,0.93,0.93,0.93,0.97,0.96,1.00,1.00,1.00
F2.M58,0.64,0.73,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.85,0.85,0.86,0.87,0.88,0.89,0.88,0.90,0.91,0.92,0.90,0.91,0.93,0.93,0.94,0.93,0.93,0.92,0.93,0.86,1.00
F2.M59,0.23,0.98,0.96,0.95,0.94,0.93,0.93,0.91,0.91,0.87,0.86,0.88,0.89,0.89,0.89,0.89,0.90,0.90,0.88,0.88,0.87,0.88,0.85,0.88,0.85,0.90,0.91,0.94,0.99,1.00
F2.M60,0.23,0.32,0.36,0.42,0.46,0.56,0.61,0.65,0.72,0.75,0.77,0.80,0.80,0.82,0.82,0.85,0.85,0.87,0.87,0.90,0.89,0.92,0.90,0.92,0.89,0.94,0.93,0.99,0.99,1.00
F2.M61,0.10,0.32,0.40,0.51,0.61,0.69,0.71,0.75,0.79,0.81,0.83,0.86,0.85,0.86,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.89,0.88,0.90,0.88,0.93,0.91,0.94,0.95,1.00
F2.M62,0.23,0.95,0.71,0.82,0.84,0.85,0.85,0.84,0.83,0.84,0.84,0.86,0.84,0.86,0.87,0.86,0.86,0.87,0.85,0.88,0.85,0.87,0.86,0.88,0.85,0.88,0.88,0.89,0.85,1.00
F2.M63,0.23,0.98,0.96,0.95,0.94,0.92,0.92,0.91,0.91,0.87,0.86,0.88,0.89,0.89,0.89,0.89,0.90,0.90,0.88,0.88,0.87,0.88,0.85,0.88,0.85,0.90,0.91,0.94,0.99,1.00
F2.M64,0.23,0.89,0.78,0.85,0.86,0.88,0.87,0.85,0.84,0.84,0.84,0.86,0.87,0.89,0.88,0.87,0.89,0.89,0.88,0.88,0.88,0.90,0.87,0.90,0.87,0.91,0.91,0.97,0.99,1.00
F2.M65,0.64,0.70,0.78,0.75,0.76,0.78,0.79,0.78,0.79,0.82,0.79,0.82,0.82,0.84,0.86,0.86,0.87,0.89,0.90,0.89,0.90,0.91,0.89,0.90,0.91,0.93,0.92,0.95,0.91,1.00
F2.M66,0.64,0.71,0.76,0.77,0.72,0.78,0.76,0.79,0.80,0.79,0.80,0.82,0.83,0.85,0.84,0.87,0.87,0.86,0.87,0.88,0.88,0.91,0.90,0.92,0.90,0.92,0.92,0.97,0.89,1.00
F2.M67,0.64,0.71,0.70,0.71,0.70,0.72,0.74,0.72,0.70,0.73,0.74,0.76,0.79,0.80,0.75,0.76,0.77,0.79,0.80,0.78,0.81,0.80,0.78,0.77,0.76,0.77,0.73,0.79,0.74,1.00
F2.M68,0.23,0.99,0.75,0.79,0.84,0.85,0.85,0.84,0.86,0.87,0.86,0.89,0.89,0.90,0.91,0.92,0.93,0.92,0.92,0.94,0.93,0.95,0.94,0.94,0.93,0.97,0.96,1.00,1.00,1.00
F2.M69,0.64,0.76,0.77,0.79,0.81,0.82,0.82,0.83,0.85,0.86,0.86,0.87,0.87,0.89,0.89,0.87,0.88,0.88,0.89,0.89,0.90,0.91,0.90,0.92,0.90,0.92,0.87,0.91,0.83,1.00
F2.M70,0.23,0.98,0.96,0.93,0.91,0.88,0.91,0.90,0.91,0.89,0.88,0.89,0.87,0.88,0.88,0.89,0.89,0.89,0.88,0.88,0.86,0.87,0.83,0.87,0.84,0.89,0.92,0.94,0.99,1.00
F2.M71,0.23,0.32,0.36,0.41,0.45,0.55,0.58,0.62,0.68,0.73,0.77,0.80,0.83,0.83,0.85,0.87,0.89,0.89,0.91,0.93,0.92,0.96,0.94,0.95,0.92,0.96,0.95,0.99,1.00,1.00
F2.M72,0.10,0.33,0.41,0.50,0.58,0.62,0.66,0.70,0.75,0.76,0.77,0.80,0.80,0.82,0.83,0.82,0.84,0.85,0.86,0.86,0.85,0.85,0.84,0.86,0.85,0.89,0.89,0.90,0.93,1.00
F2.M73,0.23,0.99,0.77,0.81,0.85,0.83,0.83,0.81,0.80,0.79,0.80,0.81,0.83,0.81,0.83,0.83,0.83,0.83,0.83,0.85,0.85,0.85,0.83,0.86,0.83,0.86,0.87,0.87,0.82,1.00
F2.M74,0.23,0.98,0.96,0.92,0.91,0.88,0.91,0.90,0.91,0.89,0.88,0.89,0.87,0.88,0.89,0.89,0.89,0.89,0.88,0.88,0.87,0.87,0.83,0.87,0.84,0.89,0.92,0.94,0.99,1.00
F2.M75,0.23,0.95,0.84,0.82,0.85,0.82,0.82,0.81,0.80,0.81,0.80,0.81,0.80,0.81,0.83,0.83,0.84,0.85,0.85,0.87,0.87,0.87,0.82,0.85,0.85,0.89,0.92,0.95,0.99,1.00
F2.M76,0.64,0.75,0.77,0.77,0.80,0.78,0.78,0.78,0.82,0.83,0.83,0.83,0.85,0.86,0.84,0.83,0.84,0.86,0.88,0.86,0.84,0.86,0.84,0.84,0.86,0.86,0.86,0.89,0.83,1.00
F2.M77,0.64,0.73,0.76,0.73,0.77,0.74,0.77,0.77,0.76,0.77,0.78,0.80,0.77,0.74,0.74,0.76,0.72,0.76,0.75,0.75,0.71,0.73,0.76,0.76,0.71,0.77,0.78,0.82,0.84,1.00
F2.M78,0.23,0.32,0.36,0.64,0.68,0.82,0.80,0.84,0.85,0.86,0.86,0.88,0.88,0.90,0.90,0.90,0.90,0.91,0.88,0.89,0.87,0.91,0.89,0.91,0.86,0.92,0.92,0.97,0.99,1.00
F2.M79,0.64,0.70,0.69,0.72,0.71,0.74,0.74,0.74,0.74,0.77,0.77,0.80,0.81,0.82,0.80,0.81,0.83,0.84,0.84,0.81,0.82,0.83,0.82,0.81,0.79,0.81,0.76,0.80,0.76,1.00
F2.M80,0.23,0.33,0.69,0.67,0.72,0.76,0.77,0.80,0.80,0.80,0.82,0.83,0.86,0.87,0.89,0.89,0.90,0.89,0.92,0.93,0.93,0.95,0.93,0.93,0.93,0.97,0.96,1.00,1.00,1.00
F2.M81,0.64,0.73,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.88,0.89,0.89,0.88,0.90,0.91,0.92,0.90,0.92,0.93,0.93,0.94,0.93,0.93,0.92,0.94,0.87,1.00
F2.M82,0.23,0.98,0.96,0.95,0.94,0.92,0.92,0.91,0.91,0.87,0.86,0.88,0.89,0.89,0.90,0.89,0.90,0.90,0.88,0.88,0.87,0.88,0.85,0.88,0.85,0.90,0.91,0.94,0.99,1.00
F2.M83,0.23,0.32,0.36,0.44,0.47,0.57,0.63,0.66,0.72,0.74,0.76,0.80,0.80,0.82,0.82,0.85,0.85,0.86,0.86,0.90,0.88,0.91,0.89,0.92,0.88,0.93,0.93,0.98,0.99,1.00
F2.M84,0.10,0.32,0.40,0.51,0.61,0.68,0.71,0.75,0.79,0.81,0.83,0.86,0.85,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.90,0.88,0.92,0.91,0.94,0.95,1.00
F2.M85,0.23,0.92,0.70,0.82,0.84,0.85,0.85,0.84,0.83,0.84,0.85,0.86,0.84,0.86,0.87,0.87,0.86,0.87,0.86,0.88,0.85,0.87,0.87,0.89,0.85,0.89,0.89,0.90,0.85,1.00
F2.M86,0.23,0.98,0.96,0.95,0.94,0.93,0.93,0.91,0.91,0.87,0.86,0.88,0.89,0.89,0.89,0.89,0.90,0.90,0.88,0.88,0.87,0.88,0.85,0.88,0.85,0.90,0.91,0.94,0.99,1.00
F2.M87,0.23,0.89,0.78,0.85,0.86,0.88,0.87,0.85,0.84,0.84,0.84,0.86,0.87,0.89,0.88,0.87,0.89,0.89,0.88,0.88,0.88,0.90,0.87,0.90,0.87,0.91,0.91,0.97,0.99,1.00
F2.M88,0.64,0.70,0.78,0.75,0.76,0.78,0.79,0.78,0.79,0.82,0.79,0.82,0.82,0.84,0.86,0.86,0.87,0.89,0.90,0.89,0.90,0.91,0.89,0.90,0.91,0.93,0.92,0.95,0.91,1.00
F2.M89,0.64,0.71,0.76,0.77,0.72,0.77,0.76,0.79,0.80,0.79,0.80,0.81,0.83,0.85,0.84,0.87,0.87,0.86,0.87,0.88,0.88,0.91,0.90,0.92,0.90,0.92,0.92,0.97,0.89,1.00
F2.M90,0.23,0.32,0.36,0.45,0.49,0.60,0.65,0.68,0.75,0.76,0.77,0.81,0.81,0.83,0.83,0.86,0.85,0.85,0.86,0.89,0.88,0.91,0.89,0.91,0.88,0.93,0.93,0.98,0.99,1.00
F2.M91,0.23,0.32,0.36,0.64,0.68,0.82,0.80,0.84,0.85,0.86,0.86,0.88,0.88,0.90,0.90,0.90,0.90,0.91,0.88,0.89,0.87,0.91,0.89,0.91,0.86,0.92,0.92,0.97,0.99,1.00
